epoch,train_loss,train_top1,test_top1,best_top1,closest_top1,learning_rate,epoch_seconds,elapsed_seconds
252,0.00880905,99.798387,71.949509,76.718093,76.718093,0.0064393094,4.799699,1239.610701
253,0.00743117,99.823589,74.333801,76.718093,76.718093,0.0061846660,4.765145,1244.421161
254,0.00849017,99.697581,72.744273,76.718093,76.718093,0.0059348274,4.800437,1249.283004
255,0.00668843,99.873992,73.632539,76.718093,76.718093,0.0056898210,4.791397,1254.124496
256,0.00539032,99.873992,73.071529,76.718093,76.718093,0.0054496738,4.941816,1259.100303
257,0.00483602,99.873992,71.996260,76.718093,76.718093,0.0052144120,4.889576,1264.031924
258,0.00443203,99.924395,73.258532,76.718093,76.718093,0.0049840614,4.778213,1268.855055
259,0.00468377,99.924395,71.388499,76.718093,76.718093,0.0047586474,4.817252,1273.715903
260,0.00637162,99.848790,73.305283,76.718093,76.718093,0.0045381945,4.886789,1278.650315
261,0.00859000,99.773185,72.370266,76.718093,76.718093,0.0043227271,4.859313,1283.569735
262,0.00627717,99.873992,71.482001,76.718093,76.718093,0.0041122687,4.768247,1288.373305
263,0.00498517,99.873992,74.100047,76.718093,76.718093,0.0039068424,4.802077,1293.206130
264,0.00440422,99.899194,72.370266,76.718093,76.718093,0.0037064708,4.978873,1298.229285
265,0.00485139,99.899194,72.744273,76.718093,76.718093,0.0035111757,4.799255,1303.077312
266,0.00573402,99.924395,72.931276,76.718093,76.718093,0.0033209787,4.923979,1308.043242
267,0.00319958,99.924395,73.539037,76.718093,76.718093,0.0031359005,4.919700,1313.005574
268,0.00422362,99.873992,72.931276,76.718093,76.718093,0.0029559616,4.942267,1317.991242
269,0.00539288,99.823589,72.884525,76.718093,76.718093,0.0027811815,4.855383,1322.881919
270,0.00454638,99.899194,72.744273,76.718093,76.718093,0.0026115795,4.844656,1327.782704
271,0.00349471,99.924395,72.276765,76.718093,76.718093,0.0024471742,4.772403,1332.587121
272,0.00501753,99.899194,72.557270,76.718093,76.718093,0.0022879836,4.926360,1337.543629
273,0.00374009,99.974798,72.417017,76.718093,76.718093,0.0021340251,4.798724,1342.371914
274,0.00348845,99.899194,72.557270,76.718093,76.718093,0.0019853157,4.752797,1347.172372
275,0.00382934,99.949597,72.276765,76.718093,76.718093,0.0018418717,4.817402,1352.054135
276,0.00301983,99.974798,72.323516,76.718093,76.718093,0.0017037087,4.763083,1356.866409
277,0.00402928,99.949597,72.230014,76.718093,76.718093,0.0015708419,4.860989,1361.770274
278,0.00435474,99.899194,72.323516,76.718093,76.718093,0.0014432860,4.824805,1366.640052
279,0.00553325,99.899194,72.323516,76.718093,76.718093,0.0013210549,4.671355,1371.341257
280,0.00364257,99.949597,72.650771,76.718093,76.718093,0.0012041619,4.809031,1376.194530
281,0.00420630,99.899194,71.902758,76.718093,76.718093,0.0010926200,4.781829,1381.008509
282,0.00581815,99.773185,72.510519,76.718093,76.718093,0.0009864413,4.900684,1385.947445
283,0.00318277,99.949597,72.931276,76.718093,76.718093,0.0008856375,4.906783,1390.899729
284,0.00323514,100.000000,72.370266,76.718093,76.718093,0.0007902196,4.873056,1395.817708
285,0.00314822,99.949597,71.949509,76.718093,76.718093,0.0007001981,5.013824,1400.879622
286,0.00320853,100.000000,72.884525,76.718093,76.718093,0.0006155830,5.018822,1405.954152
287,0.00407705,99.924395,72.650771,76.718093,76.718093,0.0005363834,4.841121,1410.832378
288,0.00389089,99.899194,72.323516,76.718093,76.718093,0.0004626080,4.862722,1415.742367
289,0.00377996,99.899194,72.650771,76.718093,76.718093,0.0003942649,4.719454,1420.504966
290,0.00364581,99.974798,72.557270,76.718093,76.718093,0.0003313617,4.763802,1425.333061
291,0.00614885,99.773185,72.697522,76.718093,76.718093,0.0002739052,4.734386,1430.111606
292,0.00356216,99.899194,72.978027,76.718093,76.718093,0.0002219018,4.766845,1434.909766
293,0.00392530,99.899194,72.837775,76.718093,76.718093,0.0001753570,5.037946,1439.998023
294,0.00470949,99.949597,73.165030,76.718093,76.718093,0.0001342761,4.792870,1444.819525
295,0.00486731,99.899194,72.697522,76.718093,76.718093,0.0000986636,4.797031,1449.658862
296,0.00422606,99.873992,72.650771,76.718093,76.718093,0.0000685233,4.839580,1454.572215
297,0.00354918,99.949597,73.211781,76.718093,76.718093,0.0000438585,4.745582,1459.358009
298,0.00357806,99.924395,72.744273,76.718093,76.718093,0.0000246720,4.876342,1464.277050
299,0.00347008,99.949597,72.510519,76.718093,76.718093,0.0000109658,4.906923,1469.224286
300,0.00376493,99.924395,72.791024,76.718093,76.718093,0.0000027415,4.907010,1474.175385
