epoch,train_loss,train_top1,test_top1,best_top1,closest_to_reference_top1,learning_rate,epoch_seconds,elapsed_seconds
267,1.49462620,61.250000,56.887299,56.887299,56.887299,0.0358829272,4.749868,1365.337184
268,1.49857885,61.197917,56.366889,56.887299,56.887299,0.0355484102,4.740270,1370.217358
269,1.46059892,63.750000,55.895268,56.887299,56.887299,0.0352145975,5.150342,1375.436073
270,1.47274159,61.875000,55.017076,56.887299,56.887299,0.0348815055,4.721249,1380.221890
271,1.56724135,60.260417,55.114653,56.887299,56.887299,0.0345491503,4.627704,1384.920030
272,1.51071544,60.312500,53.959993,56.887299,56.887299,0.0342175482,4.797178,1389.786179
273,1.44408822,62.291667,55.130916,56.887299,56.887299,0.0338867152,5.094682,1394.956553
274,1.44009373,62.291667,56.740933,56.887299,56.887299,0.0335566677,4.690141,1399.719773
275,1.48539275,61.979167,56.692145,56.887299,56.887299,0.0332274215,4.623616,1404.412113
276,1.54279062,60.416667,53.667263,56.887299,56.887299,0.0328989928,4.649213,1409.129702
277,1.46092695,62.500000,55.488697,56.887299,56.887299,0.0325713976,4.630550,1413.796102
278,1.44485409,63.906250,55.765165,56.887299,56.887299,0.0322446519,4.656521,1418.522043
279,1.47788556,61.302083,56.399415,56.887299,56.887299,0.0319187715,4.959107,1423.550559
280,1.54128451,59.895833,55.797691,56.887299,56.887299,0.0315937724,5.450284,1429.046938
281,1.54098923,60.416667,52.675232,56.887299,56.887299,0.0312696703,5.111330,1434.224592
282,1.46184646,62.291667,56.415677,56.887299,56.887299,0.0309464812,4.886315,1439.168396
283,1.45691738,62.552083,56.074158,56.887299,56.887299,0.0306242207,4.744732,1443.968981
284,1.37299238,64.322917,55.960319,56.887299,56.887299,0.0303029045,4.452816,1448.492046
285,1.41745226,63.385417,58.041958,58.041958,58.041958,0.0299825484,4.396959,1452.959926
286,1.37793642,64.635417,57.001138,58.041958,58.041958,0.0296631678,4.423851,1457.525786
287,1.34672019,66.093750,56.562043,58.041958,58.041958,0.0293447785,4.616207,1462.211359
288,1.39327211,64.218750,55.960319,58.041958,58.041958,0.0290273959,5.086450,1467.352514
289,1.39166444,65.156250,55.732639,58.041958,58.041958,0.0287110354,5.182518,1472.591397
290,1.41740487,63.541667,57.667913,58.041958,58.041958,0.0283957126,4.754290,1477.403012
291,1.30246948,65.885417,58.123272,58.123272,58.123272,0.0280814427,4.823441,1482.296015
292,1.40007808,64.843750,57.667913,58.123272,58.123272,0.0277682410,5.626007,1488.080526
293,1.40581328,64.531250,56.708408,58.123272,58.123272,0.0274561230,5.598214,1493.714634
294,1.36589446,63.593750,59.099040,59.099040,59.099040,0.0271451036,5.590487,1499.340756
295,1.36032638,64.479167,56.009107,59.099040,59.099040,0.0268351982,5.471892,1504.964018
296,1.45015159,62.708333,56.724671,59.099040,59.099040,0.0265264219,4.734189,1509.759028
297,1.36198028,64.635417,56.805985,59.099040,59.099040,0.0262187895,4.869469,1514.812532
298,1.36399728,65.416667,55.911530,59.099040,59.099040,0.0259123163,4.902754,1519.771746
299,1.34593155,64.843750,56.480729,59.099040,59.099040,0.0256070170,4.911885,1524.739042
300,1.36499015,64.791667,58.416003,59.099040,59.099040,0.0253029067,5.419894,1530.204157
